Date,Adj Close,cash-rate
2019-11-05,0.689028,0.75
2019-11-06,0.689085,0.75
2019-11-07,0.68773,0.75
2019-11-08,0.6861,0.75
2019-11-11,0.6858,0.75
2019-11-12,0.685025,0.75
2019-11-13,0.6844,0.75
2019-11-14,0.68395,0.75
2019-11-15,0.678831,0.75
2019-11-18,0.681598,0.75
2019-11-19,0.680522,0.75
2019-11-20,0.68249,0.75
2019-11-21,0.6799,0.75
2019-11-22,0.678942,0.75
2019-11-25,0.6792,0.75
2019-11-26,0.67764,0.75
2019-11-27,0.6789,0.75
2019-11-28,0.67672,0.75
2019-11-29,0.6769,0.75
2019-12-02,0.67648,0.75
2019-12-03,0.681882,0.75
2019-12-04,0.68487,0.75
2019-12-05,0.68496,0.75
2019-12-06,0.6833,0.75
2019-12-09,0.683532,0.75
2019-12-10,0.6828,0.75
2019-12-11,0.68114,0.75
2019-12-12,0.687049,0.75
2019-12-13,0.692713,0.75
2019-12-16,0.687479,0.75
2019-12-17,0.687432,0.75
2019-12-18,0.68526,0.75
2019-12-19,0.68547,0.75
2019-12-20,0.6893,0.75
2019-12-23,0.69039,0.75
2019-12-24,0.69252,0.75
2019-12-25,0.692185,#N/A
2019-12-26,0.692473,#N/A
2019-12-27,0.694637,0.75
2019-12-30,0.6983,0.75
2019-12-31,0.70014,0.75
2020-01-01,0.7017,#N/A
2020-01-02,0.701951,0.75
2020-01-03,0.698519,0.75
2020-01-06,0.69442,0.75
2020-01-07,0.693731,0.75
2020-01-08,0.68604,0.75
2020-01-09,0.68738,0.75
2020-01-10,0.685321,0.75
2020-01-13,0.69006,0.75
2020-01-14,0.68989,0.75
2020-01-15,0.689655,0.75
2020-01-16,0.69078,0.75
2020-01-17,0.6901,0.75
2020-01-20,0.688179,0.75
2020-01-21,0.68764,0.75
2020-01-22,0.68469,0.75
2020-01-23,0.684299,0.75
2020-01-24,0.68398,0.75
2020-01-27,0.680189,#N/A
2020-01-28,0.67617,0.75
2020-01-29,0.676421,0.75
2020-01-30,0.675219,0.75
2020-01-31,0.670826,0.75
2020-02-03,0.669362,0.75
2020-02-04,0.66905,0.75
2020-02-05,0.673179,0.75
2020-02-06,0.67518,0.75
2020-02-07,0.6734,0.75
2020-02-10,0.667232,0.75
2020-02-11,0.66901,0.75
2020-02-12,0.6721,0.75
2020-02-13,0.67132,0.75
2020-02-14,0.6722,0.75
2020-02-17,0.672599,0.75
2020-02-18,0.6712,0.75
